Iteration,IfCounter,ModuloCounter,BooleanMulCounter,BooleanWrapCounter
802,6300,17700,4400,4400
803,6300,17600,4400,4400
804,6300,17700,4400,4400
805,6300,18900,4400,4400
806,6300,17700,4400,4400
807,6300,17700,4400,4400
808,6300,17700,4400,4400
809,6300,17800,4400,4400
810,6300,17700,4400,4400
811,6300,17800,4400,4400
812,6300,17600,4400,4400
813,6300,17700,4400,4400
814,6400,17700,4400,4400
815,6300,17700,4400,4400
816,6300,17700,4400,4400
817,6300,17700,4400,4400
818,6300,17600,4400,4400
819,6300,17600,4400,4400
820,6300,18500,4400,4400
821,6300,17700,4400,4400
822,6300,17800,4400,4400
823,6300,17700,4400,4400
824,6300,17700,4400,4400
825,6300,17800,4400,4400
826,6300,17700,4400,4400
827,6300,17700,4400,4400
828,6300,17700,4400,4400
829,6300,17700,4400,4400
830,6300,17700,4300,4400
831,6300,17700,4300,4400
832,6300,17700,4300,4400
833,6300,17700,4300,4400
834,6900,18500,4300,4400
835,6300,17700,4300,4400
836,6300,17700,4300,5200
837,6300,17700,4400,4400
838,6300,17700,4300,4400
839,6300,19500,4300,4300
840,6300,18100,4300,4300
841,6300,18100,4300,4300
842,6400,18000,4300,4300
843,6300,18200,4400,4300
844,6400,18100,4400,4300
845,19400,19000,4400,4400
846,6300,17700,4400,4400
847,6300,17700,4400,4400
848,6300,17700,4400,4400
849,6300,18500,4400,4400
850,6300,17700,4400,4400
851,6300,17700,4400,4400
852,6300,17700,5600,4400
853,6300,17800,4400,4400
854,6300,17700,4400,4400
855,6300,17700,4400,4400
856,6300,17700,4400,4400
857,6300,17700,4400,4400
858,6300,17700,4400,4400
859,6300,17700,4400,4400
860,6300,18200,4400,4400
861,6300,17700,4400,4400
862,6300,19600,4400,4400
863,6300,18100,4400,4400
864,6300,19900,4400,4400
865,6300,17800,4400,4400
866,6300,17700,4400,4400
867,6300,17700,4400,4400
868,6200,17700,4400,4400
869,6300,17700,4400,4400
870,6300,17700,4400,4400
871,6300,17700,4400,4300
872,6300,17700,4400,4400
873,6300,17700,4300,4400
874,6300,17700,4300,4400
875,6200,17600,4300,4400
876,6400,17700,4400,4400
877,6400,17700,4400,4400
878,6300,17600,4400,4400
879,6300,19000,4300,4400
880,6300,17700,4300,4400
881,6300,17800,4300,4400
882,6300,17600,4300,4400
883,6500,17600,4300,4400
884,6300,17600,4300,4400
885,6300,17700,4300,4400
886,6400,17700,4300,4400
887,6400,17700,4300,4400
888,6300,17700,4300,4400
889,6200,17700,4300,4400
890,6300,17700,4300,4400
891,6300,17700,4300,4500
892,6400,17700,4300,4800
893,6300,18500,4400,4400
894,6300,17700,4400,4400
895,6300,17700,4400,5200
896,6300,17700,4300,4400
897,6500,17700,4300,4300
898,6600,17700,4300,5800
899,6300,17700,4400,4500
900,6300,17800,4400,4500
901,6300,17700,4400,4500
902,6300,17700,4400,4500
903,6200,17600,4400,4500
904,19000,17700,4400,4500
905,6300,17700,4400,4500
906,6300,17700,4400,5700
907,6300,17800,4400,4300
908,6400,18500,4400,4400
909,6500,17700,4400,4400
910,6300,17700,4400,4400
911,6300,17700,5100,4400
912,6300,17700,4400,4400
913,6300,17800,4400,4400
914,6500,17700,4400,4400
915,6300,17700,4400,4400
916,6300,17800,4400,4400
917,6500,18100,4400,4400
918,6300,19200,4400,4400
919,6400,18100,4400,5700
920,6300,18100,4400,4400
921,6300,18100,4400,4500
922,6300,18100,4400,4500
923,6400,22000,4400,4500
924,6300,18100,4400,4500
925,6300,18100,4400,4400
926,6600,18100,4400,4400
927,6300,20500,4400,4400
928,6300,18100,4400,5700
929,6300,19200,4400,4400
930,6400,17600,4400,4400
931,6300,17700,4400,4400
932,6300,19200,4400,4400
933,6300,18100,4400,4400
934,6300,18000,4400,4400
935,6400,18100,4400,4400
936,6300,19000,4400,4400
937,6300,17700,4400,4400
938,6300,18600,4400,4400
939,6300,17700,4400,4400
940,6300,17700,4400,4500
941,6300,17700,4400,4400
942,6300,17700,4400,4400
943,6500,17800,4400,5800
944,6300,17700,4300,4500
945,6400,17700,4400,4500
946,6300,17700,4400,4500
947,6300,17700,4400,4400
948,6300,17600,4400,4500
949,6400,17600,4400,4500
950,6400,17700,4300,5700
951,6300,17700,4300,4400
952,6300,18500,4300,4400
953,6300,17700,4400,4400
954,6300,17700,4800,8500
955,6300,17700,4300,4400
956,6300,17700,4300,4400
957,6300,17700,4400,4400
958,6400,17700,4400,4400
959,6300,17700,4300,4400
960,6300,17700,4300,4400
961,6200,17600,4300,4400
962,6400,17600,4300,4400
963,11900,17700,4400,4400
964,6300,17700,4400,4400
965,6300,17600,4400,4400
966,6300,17700,4400,4400
967,6300,18400,4400,4400
968,6300,17700,4400,4400
969,6300,17700,4400,4400
970,6300,17700,5100,4400
971,6400,18200,4300,4300
972,6400,17600,4300,4300
973,6300,17600,4300,4300
974,6300,17600,4300,4400
975,6300,17700,4300,4400
976,6300,17700,4300,4300
977,6300,17700,4400,4300
978,6300,17600,4400,4300
979,6300,17600,4400,4300
980,6300,17700,4400,4300
981,6300,17700,4300,4300
982,6300,18400,4300,4300
983,6400,17600,4400,4300
984,6300,17700,4400,4400
985,6300,17700,4400,4400
