Iteration,Placebo,IfCounter,ModuloCounter,BooleanMulCounter,BooleanWrapCounter
648,4400,4400,18100,4400,4400
649,4300,4400,18100,4400,4400
650,4300,4400,18000,4400,4400
651,4300,4400,18900,4400,4400
652,4300,4300,18000,4400,4400
653,4300,4300,18100,4400,4400
654,4400,4300,18000,4400,5200
655,4400,4300,18000,4400,4400
656,4400,4300,18100,4400,4400
657,4400,4400,18100,4400,4400
658,4400,4400,18000,4400,4300
659,4400,4400,18100,4400,4300
660,4400,4400,18000,4400,4300
661,4400,4400,18100,4300,4300
662,4400,4400,18100,4400,4300
663,4400,4400,18100,4400,4400
664,4400,4400,18000,4400,4400
665,4400,4400,18900,4400,4400
666,4400,4400,18100,4400,4400
667,4400,4800,18100,4400,4400
668,4400,4300,18200,4400,4400
669,4300,4300,18100,4400,4400
670,4300,4300,18100,4400,4400
671,4300,4400,18000,4400,4400
672,4300,4400,18100,4400,4400
673,4300,4400,18100,4400,4400
674,4400,4400,18100,4400,4400
675,4400,4400,18100,5300,4400
676,4400,4400,18000,4400,4400
677,4400,4400,18100,4400,4300
678,4400,4400,18100,4300,4400
679,4400,5300,18100,4300,4400
680,4400,4400,19000,4300,4400
681,4400,4400,18100,4300,4400
682,4400,4400,18100,4300,4400
683,4400,4400,18100,4400,4400
684,4400,4400,18100,4400,4400
685,4400,4400,18100,4400,4400
686,4400,4300,18100,4400,4400
687,4400,4400,18900,4400,4400
688,4400,4400,18000,4400,4400
689,4300,4400,18100,4400,4400
690,4400,4400,18100,4400,4400
691,4400,4400,18100,4400,4400
692,4400,4400,18100,4400,4300
693,4400,4400,18100,4400,4300
694,4400,4400,18000,4400,4300
695,4400,4400,20200,4400,4300
696,4400,4400,17600,4400,4300
697,4400,4400,17600,4300,4400
698,4400,4400,17700,4400,4400
699,4400,4400,17700,4400,4400
700,5200,4300,17700,4400,4400
701,4400,4400,17700,4400,4400
702,4400,4400,17600,4400,4400
703,4400,4400,17600,4400,4400
704,4400,4400,17600,4400,4400
705,4300,4400,19400,4400,4400
706,4300,4400,18100,4400,4400
707,4300,4400,18100,4400,4300
708,4300,4400,18000,4400,4300
709,4400,4400,19300,4400,4300
710,4400,4400,27000,4400,4300
711,4400,4400,17700,4400,4300
712,4400,4400,17700,4300,4400
713,4400,4400,17700,4300,4400
714,4400,4400,17700,4300,5200
715,4400,4300,17600,4300,4400
716,4400,4400,17600,4300,4400
717,4400,4400,17600,4400,4400
718,4400,4300,17700,4400,4400
719,4300,4400,17700,4400,4400
720,4300,4400,17700,4400,4400
721,4300,4400,17700,4400,4400
722,4300,4400,17600,4400,4400
723,4300,4400,17700,4400,4400
724,4400,4400,18500,4400,4400
725,4400,4400,17600,4400,4400
726,4400,4400,17600,4400,4300
727,4400,4400,17600,4300,4400
728,4400,4400,17700,4300,4400
729,4900,4400,17700,4300,4400
730,4400,4300,17700,4300,4400
731,4300,4300,17600,4300,4400
732,4400,4300,17600,4400,4400
733,4400,4300,17600,4400,4400
734,4400,4300,17700,6000,4400
735,4400,4400,17700,4400,4400
736,4400,4400,17700,4400,4400
737,4400,4400,17700,4400,4300
738,4400,4400,17600,4400,4400
739,4400,5200,18500,4300,4300
740,4400,4400,17700,4400,4400
741,4400,4400,17600,4400,4400
742,4400,4400,19700,4400,4400
743,4400,4400,17700,4400,4400
744,4400,4400,17700,4400,4400
745,4400,4400,17600,4400,4400
746,4300,4400,17700,4400,4400
747,4400,4400,17700,4400,4400
748,4400,4400,17700,4400,4400
749,4400,4400,17700,4400,4400
750,4400,4300,17700,4400,4300
751,4400,4400,17700,4400,4300
752,4400,4400,17700,4300,4300
753,4400,4400,17700,4400,6300
754,4400,4400,18500,4400,4400
755,4400,4400,17700,4400,4400
756,4400,4400,17700,4400,4400
757,4400,4400,17700,5800,4400
758,4400,4400,17700,4400,5800
759,4400,4400,17700,4500,4400
760,5600,4400,17700,4500,4500
761,4400,4400,17700,4500,4500
762,4400,4400,17700,4500,4500
763,4400,4400,17700,4500,4500
764,4400,4300,17700,4500,4500
765,4400,4400,17700,5800,4500
766,4400,4400,17700,4400,4500
767,4400,4400,17700,4400,4500
768,4300,4400,17700,4400,4500
769,4300,4400,18500,4400,4500
770,4300,4400,17700,4400,4500
771,4300,4400,17700,4400,4400
772,4400,4300,17700,4400,4500
773,4400,4300,17700,4400,8900
774,4400,4300,17700,4400,4500
775,4400,4300,17700,5800,4500
776,4400,4400,17700,4400,4500
777,4400,4400,17700,4400,4500
778,4400,4400,17700,4400,5800
779,4400,4400,17800,4400,4500
780,4400,4400,17700,4400,4400
781,4400,4400,17700,4500,4400
782,4300,4400,17600,4500,5900
783,4300,4400,18400,4500,4500
784,4300,4400,17600,4500,4500
785,4300,4400,17600,4500,4500
786,4300,4300,17700,4500,4500
787,4400,4300,17700,4500,4500
788,4400,4300,17600,4500,4500
789,4400,4300,17600,4500,5700
790,4400,4300,17700,4500,4300
791,4400,4400,17700,4500,4300
792,4400,4400,17700,4600,4300
793,4400,4400,17700,16400,4400
794,4400,4400,17600,4500,4400
795,4400,4400,17600,4500,4400
796,4400,4400,17600,4500,4400
797,4400,4400,17700,4500,4400
798,4300,5300,19700,4500,4400
799,4300,4400,17700,4500,5800
800,4300,4400,17700,5700,4500
801,4300,4400,17700,4400,4500
802,4400,4400,17800,4400,4500
803,4400,4400,19200,4400,4500
804,4400,4400,18100,4400,4500
805,4400,4400,18100,4400,4500
806,4400,4400,19100,4400,4500
807,4400,4300,17700,4400,4500
